336,401005003,ANTIGNANO,AT,,A312,14010
337,419083004,ANTILLO,ME,,A313,98030
338,418080004,ANTONIMINA,RC,,A314,89040
339,412057003,ANTRODOCO,RI,,A315,02013
340,401003613,ANTRONA SCHIERANCO,NO,,A317,28841
341,401103001,ANTRONA SCHIERANCO,VB,,A317,28841
342,401003506,ANTRONAPIANA,NO,,,
343,413066004,ANVERSA DEGLI ABRUZZI,AQ,,A318,67030
344,403013009,ANZANO DEL PARCO,CO,,A319,22040
345,416071003,ANZANO DI PUGLIA,FG,,A320,71020
346,417076004,ANZI,PZ,,A321,85010
347,401003507,ANZINO,NO,,,
348,412058007,ANZIO,RM,,A323,00042
349,408037001,ANZOLA DELL'EMILIA,BO,,A324,40011
350,401003614,ANZOLA D'OSSOLA,NO,,A325,28877
351,401103002,ANZOLA D'OSSOLA,VB,,A325,28877
352,402007003,AOSTA,AO,,A326,11100
353,411141002,APECCHIO,PU,,A327,61042
354,411041002,APECCHIO,PS,,A327,61042
355,415062003,APICE,BN,,A328,82021
356,411043002,APIRO,MC,,A329,62021
357,415062004,APOLLOSA,BN,,A330,82030
358,407010501,APPARIZIONE,GE,,,
359,403013010,APPIANO GENTILE,CO,,A333,22070
360,404021004,APPIANO SULLA STRADA DEL VINO,BZ,,A332,39057
361,411043003,APPIGNANO,MC,,A334,62010
362,411044005,APPIGNANO DEL TRONTO,AP,,A335,63083
363,450500502,APRIANO,FU,,,
364,403014004,APRICA,SO,,A337,23031
365,407008002,APRICALE,IM,,A338,18035
366,416071004,APRICENA,FG,,A339,71011
367,418078012,APRIGLIANO,CS,,A340,87051
368,412059001,APRILIA,LT,,A341,04011
369,409045502,APUANIA,MS,,,
370,415065008,AQUARA,SA,,A343,84020
371,407008003,AQUILA D'ARROSCIA,IM,,A344,18020
372,406030004,AQUILEIA,UD,,A346,33051
373,415064004,AQUILONIA,AV,,A347,83041
374,412060007,AQUINO,FR,,A348,03031
375,401003508,ARA,NO,,,
376,416075006,ARADEO,LE,,A350,73040
377,419084003,ARAGONA,AG,,A351,92021
378,401005004,ARAMENGO,AT,,A352,14020
379,401002503,ARANCO,VC,,,
380,406093002,ARBA,PN,,A354,33090
381,406030523,ARBA,UD,,A354,33090
382,403012503,ARBIZZO,VA,,,
383,420092517,ARBOREA,CA,,A357,09092
384,420095006,ARBOREA,OR,,A357,09092
385,401002006,ARBORIO,VC,,A358,13031
386,420092001,ARBUS,CA,,A359,09031
387,405026002,ARCADE,TV,,A360,31030
388,403015503,ARCAGNA,MI,,,
389,403015504,ARCAGNANO,MI,,,
390,412060008,ARCE,FR,,A363,03032
391,403013507,ARCELLASCO,CO,,,
392,403016011,ARCENE,BG,,A365,24040
393,411042003,ARCEVIA,AN,,A366,60011
394,413069002,ARCHI,CH,,A367,66044
395,409053001,ARCIDOSSO,GR,,A369,58031
396,412058008,ARCINAZZO ROMANO,RM,,A370,00020
397,403012004,ARCISATE,VA,,A371,21051
398,404022006,ARCO,TN,,A372,38062
399,407011002,ARCOLA,SP,,A373,19021
400,405023004,ARCOLE,VR,,A374,37040
401,403015007,ARCONATE,MI,,A375,20020
402,403015008,ARCORE,MI,,A376,20862
403,403108004,ARCORE,MB,,A376,20862
404,405024006,ARCUGNANO,VI,,A377,36057
405,403012504,ARCUMEGGIA,VA,,,
406,420090005,ARDARA,SS,,A379,07010
407,420092518,ARDAULI,CA,,A380,09081
408,420095007,ARDAULI,OR,,A380,09081
409,412058117,ARDEA,RM,,M213,00040
410,403012505,ARDENA,VA,,,
411,403014005,ARDENNO,SO,,A382,23011
412,403016012,ARDESIO,BG,,A383,24020
413,403019504,ARDOLE SAN MARINO,CR,,,
414,418080005,ARDORE,RC,,A385,89031
415,418102002,ARENA,VV,,A386,89832
416,418079507,ARENA,CZ,,A386,89832
417,403018005,ARENA PO,PV,,A387,27040
418,407010001,ARENZANO,GE,,A388,16011
419,403015009,ARESE,MI,,A389,20020
420,409051002,AREZZO,AR,,A390,52100
421,403013011,ARGEGNO,CO,,A391,22010
422,408037002,ARGELATO,BO,,A392,40050
423,408038001,ARGENTA,FE,,A393,44011
424,401004006,ARGENTERA,CN,,A394,12010
425,403018501,ARGINE PO,PV,,,
426,401004007,ARGUELLO,CN,,A396,12050
427,418079007,ARGUSTO,CZ,,A397,88060
428,413069003,ARI,CH,,A398,66010
429,415064005,ARIANO IRPINO,AV,,A399,83031
430,405029002,ARIANO NEL POLESINE,RO,,A400,45012
431,412058009,ARICCIA,RM,,A401,00040
432,413069004,ARIELLI,CH,,A402,66030
433,415061004,ARIENZO,CE,,A403,81021
434,415061502,ARIENZO SANFELICE,CE,,,
435,401001012,ARIGNANO,TO,,A405,10020
436,413066501,ARISCHIA,AQ,,,
437,420091001,ARITZO,NU,,A407,08031
438,420092501,ARIXI,CA,,,
439,401003615,ARIZZANO,NO,,A409,28811
440,401103003,ARIZZANO,VB,,A409,28811
441,401003509,ARIZZANO INFERIORE,NO,,,
442,401003510,ARIZZANO SUPERIORE,NO,,,
443,412056002,ARLENA DI CASTRO,VT,,A412,01010
444,403015010,ARLUNO,MI,,A413,20010
445,401003006,ARMENO,NO,,A414,28011
446,417076005,ARMENTO,PZ,,A415,85010
447,403012506,ARMIO,VA,,,
448,403017504,ARMO,BS,,A418,18026
449,407008004,ARMO,IM,,A418,18026
450,420092002,ARMUNGIA,CA,,A419,09040
451,402007004,ARNAD,AO,,A424,11020
452,404022504,ARNAGO,TN,,,
453,412060009,ARNARA,FR,,A421,03020
454,407009007,ARNASCO,SV,,A422,17032
455,403012507,ARNATE,VA,,,
456,416075007,ARNESANO,LE,,A425,73010
457,401103004,AROLA,VB,,A427,28899
458,401003616,AROLA,NO,,A427,28899
459,403012508,AROLO,VA,,,
460,401003008,ARONA,NO,,A429,28041
461,403013012,AROSIO,CO,,A430,22060
462,415062005,ARPAIA,BN,,A431,82011
463,415062006,ARPAISE,BN,,A432,82010
464,412060010,ARPINO,FR,,A433,03033
465,405028005,ARQUA' PETRARCA,PD,,,
466,405029003,ARQUA' POLESINE,RO,,,
467,411044006,ARQUATA DEL TRONTO,AP,,A437,63096
468,401006009,ARQUATA SCRIVIA,AL,,A436,15061
469,405028006,ARRE,PD,,A438,35020
470,410055005,ARRONE,TR,,A439,05031
471,403012005,ARSAGO SEPRIO,VA,,A441,21010
472,450501503,ARSIA,PL,,,
473,405025004,ARSIE',BL,,,
474,405024007,ARSIERO,VI,,A444,36011
475,413067003,ARSITA,TE,,A445,64031
476,412058010,ARSOLI,RM,,A446,00023
477,406030005,ARTA TERME,UD,,A447,33022
478,406030006,ARTEGNA,UD,,A448,33011
479,412058011,ARTENA,RM,,A449,00031
480,401003511,ARTO,NO,,,
481,403017007,ARTOGNE,BS,,A451,25040
482,402007005,ARVIER,AO,,A452,11011
483,420090006,ARZACHENA,SS,,A453,07021
484,403016013,ARZAGO D'ADDA,BG,,A440,24040
485,420091002,ARZANA,NU,,A454,08040
486,415063005,ARZANO,NA,,A455,80022
487,406093003,ARZENE,PN,,A456,33098
488,406030524,ARZENE,UD,,A456,33098
489,407008501,ARZENO D'ONEGLIA,IM,,,
490,405028007,ARZERGRANDE,PD,,A458,35020
491,405024008,ARZIGNANO,VI,,A459,36071
492,415065009,ASCEA,SA,,A460,84046
493,409052002,ASCIANO,SI,,A461,53041
494,411044007,ASCOLI PICENO,AP,,A462,63100
495,416071005,ASCOLI SATRIANO,FG,,A463,71022
496,412057004,ASCREA,RI,,A464,02020
497,405024009,ASIAGO,VI,,A465,36012
498,405024010,ASIGLIANO VENETO,VI,,A467,36020
499,401002007,ASIGLIANO VERCELLESE,VC,,A466,13032
500,403013508,ASNAGO,CO,,,
501,403020002,ASOLA,MN,,A470,46041
502,405026003,ASOLO,TV,,A471,31011
503,403015011,ASSAGO,MI,,A473,20090
504,420092003,ASSEMINI,CA,,A474,09032
505,410054001,ASSISI,PG,,A475,06081
506,403013013,ASSO,CO,,A476,22033
507,420092519,ASSOLO,CA,,A477,09080
508,420095008,ASSOLO,OR,,A477,09080
509,419086003,ASSORO,EN,,A478,94010
510,401005005,ASTI,AT,,A479,14100
511,420092520,ASUNI,CA,,A480,09080
512,420095009,ASUNI,OR,,A480,09080
513,413066005,ATELETA,AQ,,A481,67030
514,417076006,ATELLA,PZ,,A482,85020
515,415063515,ATELLA DI NAPOLI,NA,,,
516,415061503,ATELLA DI NAPOLI,CE,,,
517,415065010,ATENA LUCANA,SA,,A484,84030
518,413069005,ATESSA,CH,,A485,66041
519,412060011,ATINA,FR,,A486,03042
520,415065011,ATRANI,SA,,A487,84010
521,413067004,ATRI,TE,,A488,64032
522,415064006,ATRIPALDA,AV,,A489,83042
523,410055006,ATTIGLIANO,TR,,A490,05012
524,406030007,ATTIMIS,UD,,A491,33040
525,420091003,ATZARA,NU,,A492,08030
526,411041003,AUDITORE,PS,,A493,61020
527,411141003,AUDITORE,PU,,A493,61020
528,419089001,AUGUSTA,SR,,A494,96011
529,415065012,AULETTA,SA,,A495,84031
530,409045001,AULLA,MS,,A496,54011
531,401003617,AURANO,NO,,A497,28812
532,401103005,AURANO,VB,,A497,28812
533,406032503,AUREMO DI SOPRA,TS,,,
534,407008005,AURIGO,IM,,A499,18020
535,406032504,AURISINA,TS,,,
536,405025005,AURONZO DI CADORE,BL,,A501,32041
537,412060012,AUSONIA,FR,,A502,03040
538,420091004,AUSTIS,NU,,A503,08030
539,401003512,AUZATE,NO,,,
540,406031504,AUZZA,GO,,,
541,407010002,AVEGNO,GE,,A506,16030
542,404021005,AVELENGO,BZ,,A507,39010
543,415064007,AVELLA,AV,,A508,83021
544,415064008,AVELLINO,AV,,A509,83100
545,403017505,AVENONE,BS,,,
546,403016014,AVERARA,BG,,A511,24010
547,415061005,AVERSA,CE,,A512,81031
548,405023501,AVESA,VR,,,
549,416073001,AVETRANA,TA,,A514,74020
550,413066006,AVEZZANO,AQ,,A515,67051
551,406030525,AVIANO,UD,,A516,33081
552,406093004,AVIANO,PN,,A516,33081
553,403016015,AVIATICO,BG,,A517,24020
554,401001013,AVIGLIANA,TO,,A518,10051
555,417076007,AVIGLIANO,PZ,,A519,85021
556,410055033,AVIGLIANO UMBRO,TR,,M258,05020
557,404022007,AVIO,TN,,A520,38063
558,402007006,AVISE,AO,,A521,11010
559,419089002,AVOLA,SR,,A522,96012
560,401006010,AVOLASCA,AL,,A523,15050
561,401001502,AVUGLIONE E VERNONE,TO,,,
562,402007007,AYAS,AO,,A094,11020
563,402007008,AYMAVILLES,AO,,A108,11010
564,401001014,AZEGLIO,TO,,A525,10010
565,403019004,AZZANELLO,CR,,A526,26010
566,401005006,AZZANO D'ASTI,AT,,A527,14030
567,406093005,AZZANO DECIMO,PN,,A530,33082
568,406030526,AZZANO DECIMO,UD,,A530,33082
569,403017008,AZZANO MELLA,BS,,A529,25020
570,403016016,AZZANO SAN PAOLO,BG,,A528,24052
571,403012006,AZZATE,VA,,A531,21022
572,403012007,AZZIO,VA,,A532,21030
573,403016017,AZZONE,BG,,A533,24020
574,401103006,BACENO,VB,,A534,28861
575,401003618,BACENO,NO,,A534,28861
576,415063006,BACOLI,NA,,A535,80070
577,407008006,BADALUCCO,IM,,A536,18010
578,420090081,BADESI,SS,,M214,07030
579,404021006,BADIA,BZ,,A537,39036
580,405023005,BADIA CALAVENA,VR,,A540,37030
581,403018006,BADIA PAVESE,PV,,A538,27010
582,405029004,BADIA POLESINE,RO,,A539,45021
583,409051003,BADIA TEDALDA,AR,,A541,52032
584,418079008,BADOLATO,CZ,,A542,88060
585,403013509,BAGAGGERA,CO,,,
